,id,screen_name,location,created_at,text,retweet_count,followers_count,language,friends_count,verified,title,category,content,date
207,207,hirunews,Colombo,2023-06-14 04:06:47+00:00,බඩඉරිගු වගාවට හොඳ කලදසාවක්,0,178509,si,73,FALSE,"රට තුළ හෙක්ටෙයාර 16,000ක් බඩඉරිගු වගා කිරීමට පියවර",state,මෙරට තුළ හෙක්ටෙයාර ක් බඩඉරිගු වගාව ප්රවර්ධන කිරීම සඳහා කෘෂිකාර්මික සංවර්ධන සඳහා වන අන්තර්ජාතික අරමුදල එකඟතාවය පළ කර තිබෙනවාඒ එම අරමුදලේ නියෝජිතයින් පිරිසක් ඊයේ පස්වරුවේ කෘෂිකර්ම අමාත්යවරය හමුවූ අවස්ථාවේ දීයිඒ අනුව අනුරාධපුර හම්බන්තොට මොණරාගල පොළොන්නරු සහ අම්පාර දිස්ත්රික්ක ඉලක්ක කරගනිමින් මෙම ව්යාපෘතිය ලබන මහ කන්නයේ දී ආරම්භ කිරීමටයි නියමිතව ඇත්තේමෙහි දී උසස් තත්වයේ දෙමුහුන් බීජ රසායනික පෙහොර මෙන්ම බිම් සැකසීමට අවශ්ය මූල්ය පහසුකම් නැවත අයකර නොගැනීමේ පදනම යටතේ ගොවීන් ලබා දෙන බව කෘෂිකර්ම අමාත්යාංශ සඳහන් කළා,"Wednesday, 14 June 2023 - 9:23"
208,208,hirunews,Colombo,2023-06-14 04:03:15+00:00,යූරියා මිල පහළට,0,178509,und,73,FALSE,හෙට සිට යූරියා මිල අඩු කෙරේ,state,යූරියා පොහොර කිලෝග්රෑම් මිටියක මිල හෙට සිට රුපියල් දක්වා අඩු කෙරෙනු ඇති ඊට අදාළ අනුමැති කෘෂිකර්ම අමාත්ය මහින්ද අමරවීර කැබිනට් මණ්ඩලයෙන් ලබාගත් බව කෘෂිකර්ම අමාත්යාංශ සඳහන් කළේදැනට මෙම පොහොර මිටියක් රුපියල් ක මිලක පවතිනවාඑමෙන්ම දැනට කොළඹ වරායට පැමිණ ඇති යූරිය පොහොර නෞකාවේ පොහොර ගොඩබෑම මේ වනවිට සිදුව අතර පෙරේද රාත්රියේ පැවති අධික වර්ෂාව ඊට බාධා ඇති කළා එහෙත් ඊයේ රාත්රියේ සිට යූරියා පොහොර රැගත් ලොරි රථ පොළොන්නරු ඇතුලු ප්රදේශ කිහිපයක යොමුකළ බව කෘෂිකර්ම අමාත්යාංශ සඳහන් කළේමේ අතර වවුචර් පත් වලට ලබාදෙන පොහොර තමන් වෙත මෙතෙක් ලැබී නොමැති බව පොළොන්නරු දිස්ත්රක්ක ඇළහැර ප්රදේශයේ ගොවීන් චෝදනා කරනවා ඒ හේතුවෙ තමන් දැඩි දුෂ්කරතාවයක පත්ව ඇති බව ඔවුන් පෙන්වා දෙන්නේ,"Wednesday, 14 June 2023 - 8:40"
209,209,hirunews,Colombo,2023-06-14 03:47:20+00:00,ගොඩනැගිලි ද්‍රව්‍යවල මිල අඩු වෙයි ද,0,178509,si,73,FALSE,ගොඩනැගිලි ද්‍රව්‍යවල මිල 25%කින් පමණ අඩුවිය යුතුයි - ඉදිකිරීම් කර්මාන්ත නිපුණතා කවුන්සිලය (වීඩියෝ),state,ඩොලර සාපේක්ෂ රුපියල ශක්තිමත්ව හමුවේ සිමෙන්ති ඇතුලු ගොඩනැගිලි ද්රව්යවල මිල මේ වනවිට කින් පමණ අඩුවිය යුතු බව ඉදිකිරීම් කර්මාන්ත නිපුණතා කවුන්සිලයේ සභාපති නිශාන්ත වික්රමසිංහ පවසනව එසේ නොකිරීමෙන් නිෂ්පාදකයින් සහ ආනයනකරුවන් විශාල ලාභය උපයමින් සිටින බව ඔහු පෙන්වා දෙන්නේමිල ඉහළ යාම හමුවේ මේ වනවිට තත්වයෙන් බාල යකඩ කම්බි සහ තීන්ත ආලේපන වෙළඳපොලේ පවතින බවද ඔහු කියා සිටියා,"Wednesday, 14 June 2023 - 8:31"
210,210,hirunews,Colombo,2023-06-14 03:23:55+00:00,විභාග දෙපාර්තමේන්තුවෙන් විශේෂ දැනුම්දීමක්,0,178509,si,73,FALSE,විභාග දෙපාර්තමේන්තුවෙන් දැනුම්දීමක්,state,අධ්යන පොදු සහතික පත්ර උසස් පෙළ විභාගයේ විද්යා විෂයධාරාව ඇතුළු විෂයන් ක පිළිතුරු පත්ර ඇගයීමේ කටයුතු හෙට සිට ආරම්භ කරන බව විභාග දෙපාර්තමේන්තුව සඳහන් කරනවාඑම දෙපාර්තමේන්තුව සඳහන් කළේ දිවයිනපුරා ඇඟයීම් මධ්යස්ථාන කදී ඇඟයීම් මණ්ඩල කදී පිළිතුරු පත්ර ඇඟයීමේ කටයුතු සිදුකරන බවයිජූලි මස වනදා දක්වා නගර ක් ක්රේන්ද්ර කරමින් එම ඇගයිම කටයුතු සිදු කිරීම සඳහා පාසල් අර්ධ වශයෙන් යොදා ගැනීමට සැලසුම් කර තිබෙන බවද වාර්තා වෙනවාඑම ඇගයීම් කටයුතු අවසන් වීමත් සමඟ උසස් පෙළ ඉංග්රීසි මාධ්ය පිළිතුරු පත්රවල ඇගයීම් කටයුතු ආරම්භ කිරීමට නියමිත බව විභාග දෙපාර්තමේන්තුව වැඩිදුර සඳහන් කර සිටිනව,"Wednesday, 14 June 2023 - 7:32"
211,211,hirunews,Colombo,2023-06-14 03:05:46+00:00,රඹුක්කන වෙඩි තැබීමක්,0,178509,si,73,FALSE,රඹුක්කන වෙඩි තැබීමක්,criminal,මෙරට තුල අපරාධ ක්රියා වාර්තා වීමේ ඉහළයා පෙන්නු කරන බව ශ්රී ලංකා නීතිඥ සංගමය පවසනව නිවේදනයක් නිකුත් කරමින් එම සංගමය පෙන්වා දෙන්නේ පොලිස් අත්අඩංගුවේ සිටියදී සැකකරු කිහිපදෙනෙකු මියයාමේ සිද්ධීන් කිහිපයක් ද ආසන්න කාලසීමාව තුල වාර්තා වී ඇති බවයිසැකකරුවෙකුට අත්අඩංගුවේ සිටියදී අනවශ්ය බලපෑම් කිරීමට කිසිවෙකුට නෛතික පදනමක නොමැති බව පෙන්වා දෙන ශ්රී ලංකා නීතිඥ සංගමය වැඩිදුර පවසන්නේ පවතින ප්රවණතාවයන් පිළිබඳව දැඩි අවධානයෙන් පසුවන බවයිමේ අතර රඹුක්කන කෑගල්ල මාර්ගයේ සුජාත විදුහල ඉදිරිපිටදී අණ නොතකා ධාවනය කළ යතුරුපැදියක පොලීසිය වෙඩි තැබීමේ සිද්ධියෙන් පසු බජන් නමැති මත්ද්රව්ය ජාවාරම්කරු අත්අඩංගුව ගෙන තිබෙනවාඅද අලුයම පොලිස් නිලධාරින් පිරිසක් මෙම මාර්ගයේ රැදී සිට ඇත්තේ මෙම සැකකරු මත්ද්රව්ය තොගයක් ප්රවාහන කරන බවට ලද බුද්ධි තොරතුරක අනුවයිඑම අවස්ථාවේ යතුරු පැදි දෙකක් ධාවනය කරමින් තිබූ අතර එක් යතුරු පැදියක පුද්ගලයෙකු සහ අනෙක යතුරුපැදියේ දෙදෙනෙකු ගමන් කරමින් සිටියාමුලින් පැමිණි යතුරුපැදිකරු පොලිස් මාර්ග බාධක අසලදී නැවැත්වීම සංඥ කළත් ඔහු අණ නොතකා ධාවනය කර තිබෙනව එහිදී පොලීසිය ඔහුට වෙඩි තැබූ අතර එම පුද්ගලයා කෑගල්ල රෝහලට ඇතුළත් කෙරුණේ වම් අතට සහ වම් පාදයට තුවාල සිදුවීම හේතුවෙන්එම අවස්ථාවේ අනෙක යතුරුපැදියේ සිටි පුද්ගලයන් දෙදෙනා පලායාම උත්සාහ කර ඇති අතර ඔවුන් පොලීසියෙන් අත්අඩංගුව ගෙන තිබෙනවාපසුව සිදුකළ මූලික පරීක්ෂණවලදී අනාවරණ වූයේ එලෙස අත්අඩංගුව ගත් දෙදෙනා එක් අයෙක බජන් නමැති මත්ද්රව්ය ජාවාරම්කරු බව,"Wednesday, 14 June 2023 - 8:28"
212,212,hirunews,Colombo,2023-06-13 18:25:59+00:00,රටම කම්පා කළ හෙළිදරව්ව වෛද්‍ය විද්‍යාල ඉගැන්වීම්වලට දුන්න නිසල සිරුරුවලට කරන අශිෂ්ඨ සැලකිල්ල,3,178509,si,73,FALSE,වෛද්‍ය පීඨවල සිසුන්ගේ පුහුණු වීම් සඳහා ලබාදෙන මෘත ශරීර මහරගම ප්‍රදේශයේ සුසාන භූමියට අක්‍රමවත්ව බැහැර කෙරේ (වීඩියෝ),state,වෛද්ය පීඨවල සිසුන් පුහුණු වීම් සඳහා ලබාදෙන මෘත ශරීර මහරගම ප්රදේශයේ සුසාන භූමියක ඉතා අක්රමවත් අයුරින් බැහැර කරන බවට හිරුප්රවෘත්ති වෙත තොරතුරු වාර්තා වනවාවෛද්ය පීඨවල සිසුන් පුහුණුව සඳහා ඇතැම් පිරිස් සිය ඥාතීන්ගේ සිරුරු ලබාදෙන්නේ මහත් සද්භාවය වුවද එම සිරුරු මෙලෙස බැහැර කිරීම අනුමතකළ හැකිද යන්න ගැටලුවක්මහරගම බැරෝඩාවත්තේ පිහිටි ජොරානිස් පීරිස් කනත්ත වෙත මෙම මළසිරුර ලොරියකින් රැගෙනවිත් ඉතා අනාරක්ෂිත අයුරින් අතහැර දමා යන බව වාර්තා වන්නේසත්වයින්ගේ මළකුණු ලෙස මෙලෙස අනාරක්ෂිතව රැගෙන එන මෙම සිරුරු නිසි පරිදි මිහිදන් කිරීමක් හෝ සිදුවන්නේ නොමැති බව සඳහන්දීර්ඝ කාලයක් තිස්සේ සිදුව මෙම කටයුත්ත හේතුවෙ ප්රදේශයේ පවතින්නේ දැඩිදුර්ගන්ධයක් වන අතර එමෙන් සුනඛයින් ඇතුළු සතුන් විසින් මෙම මළසිරුර කොටස් අවුස්සා ඇති අයුරු දක්නට ලැබෙන බව වාර්තා වන්නේවෛද්ය පීඨවල සිසුන් පුහුණුව සඳහා ඇතැම් පිරිස් සිය ඥාතීන්ගේ සිරුරුලබාදෙන්නේ මහත් සද්භාවය ලබා දෙන මෙම සිරුරු තවත් ගැටලු රැසක මුලපුරන අයුරින් මෙලෙස අක්රමවත් ලෙස බැහැර කිරීම අනුමත කළ හැකිද,"Tuesday, 13 June 2023 - 23:45"
213,213,hirunews,Colombo,2023-06-13 18:05:05+00:00,පුරාවිද්‍යා කොමසාරිස් ඉල්ලා අස්වුන ඇත්තම හේතුව මැදගොඩ හිමි හෙළි කරයි වැඩි විස්තර,0,178509,si,73,FALSE,පුරාවිද්‍යා ස්ථාන රැක ගැනීම සඳහා සියලු දෙනා එක්විය යුතුයි (වීඩියෝ),state,පුරාවිද්ය ස්ථාන රැක ගැනීම සඳහා සියලු දෙනා එක්වි යුතු බව ජාතික උරුම සුරැකීම මධ්යස්ථාන අවධාරණ කරනවාඒ සම්බන්ධ මල්වතු අස්ගිරි මහනාහිමිවරු දැනුවත කිරීමට එහි නියෝජිතයින් අද පියවර ගත්තාමුලතිව් ප්රදේශයේ ඉඩම් නිදහස් නොකිරීමේ ගැටලුවක් සම්බන්ධ ජනාධිපති රනිල් වික්රමසිංහ මහතා පුරාවිද්ය අධ්යක්ෂ ජනරාල් මහාචාර්ය අනුර මනතුංග මහතාට ඊයේ සිය අප්රසාදය පළ කළාඒ දෙමළ දේශපාලන පක්ෂ නියෝජිතයින් හා පුරාවිද්ය දෙපාර්තමේන්තුවේ නිලධාරීන සමඟ ජනාධිපති ලේකම් කාර්යාලයේ පැවති සාකච්ඡාවකදීයීමේ අතර පුරාවිද්ය ස්ථාන රැක ගැනීම සඳහා සියලු දෙනා එක්වීමේ අවශ්යතා පිළිබඳව මහනාහිමිවරු දැනුවත කිරීමට මහාචාර්ය පූජ්ය මැදගොඩ අභයතිස්ස හිමි සහ ජාතික උරුම සුරැකීම මධ්යස්ථානයේ නියෝජිතයින් අද පියවර ගත්තා,"Tuesday, 13 June 2023 - 23:32"
214,214,hirunews,Colombo,2023-06-13 17:22:42+00:00,සාධාරණ පාසල් අධ්‍යාපනයක් උදෙසා මධ්‍යම පළාතේ පාසල් ගුරුවරුන්ගේ පංති පිළිබඳව ගත් සුවිශේෂී තීරණය,0,178509,si,73,FALSE,මධ්‍යම පළාතේ පාසල් ගුරුවරුන්ට තම පංතියේ සිසුන් වෙත මුදල් අයකර පංති පැවැත්වීම තහනම්,state,මධ්යම පළාතේ ගුරුවරු තමන් උගන්වන පන්ති වල සිසු සිසුවිය පාසල් වේලාවෙන් බැහැරව මුදල් අය කොට අමතර පන්ති පැවැත්වී වළක්වාලමින් විශේෂ චක්රලේඛය නිකුත් කොට තිබෙනවාමධ්යම පළාත් ආණ්ඩුකාර නීතිඥ ලලිත් යූ ගමගේගේ උපදෙස පරිදි මධ්යම පළාත් අධ්යාපන අමාත්යාංශ ලේකම්යුබී හේරත් විසින් මෙම චක්රලේඛය නිකුත් කොට ඇති බව සඳහන්එම චක්රලේඛයේ සඳහන් ආකාරයට යහපත් චේතනාව මුදල් අයකිරීම තොරව අමතර දැනුම දරුවන්ට ලබාදෙන ගුරුභවතුන්ට කිසිදු බාධාව ඇති නොවෙයිදරුවන්ට වන අසාධාරණය වළකාලමින් මධ්යම පළාත් ආණ්ඩුකාරවර නීතිඥ ලලිත් යු ගමගේගේ තීරණයක අනුව මෙම තීරණය ක්රියාත්මකව අතර වඩා සාධාරණ පාසල් අධ්යාපනය පළාත තුළ ස්ථාපිත කිරීම එමගින් අරමුණ වී ඇති බව පළාත් ආන්ඩුකාරවරයා සඳහන් කර සිටී,"Tuesday, 13 June 2023 - 22:12"
215,215,hirunews,Colombo,2023-06-13 16:59:39+00:00,මීලඟ ජනපති සටනට රනිල් පුළුල් සන්ධානයකින් වැඩි විස්තර,0,178509,si,73,FALSE,මීලඟ ජනපති සටනට රනිල් පුළුල් සන්ධානයකින්,politics,මීළඟ ජනාධිපතිවරණ ජනාධිපති රනිල් වික්රමසිංහ පුළුල් සන්ධානය ඉදිරිපත් වනු ඇති බව එක්සත ජාතික පක්ෂයේ උපනායක හිටපු අමාත්ය අකිල විරාජ් කාරියවසම් පවසනවාඑම පක්ෂයේ දොඩම්ගස්ලන්ද බලමණ්ඩල රැස්වීමේදී ඔහු මේ බව කියා සිටියා,"Tuesday, 13 June 2023 - 22:21"
216,216,hirunews,Colombo,2023-06-13 16:11:14+00:00,හිටි හැටියේ වෙනස්වුණේ කිමද කියන් රත්තරන්,1,178509,si,73,FALSE,රත්තරන් මිල ඉහළට,state,ඩොලර අගය පසුගිය දින දෙකේදී ඉහළ යෑමත් සමඟ ශ්රී ලංකා තුළ රත්තරන් මිල තරමක ඉහළ ගිය බව දේශීය රත්තරන් ව්යාපාරික පවසනව රුපියල් ක්ව පැවැති කැරට් ක රත්තරන් පවුමක මිල රුපියල් ඉක්මවූ බව වාර්තා වන්නේ රුපියල් ක් දක්වා මිල පහත බැස තිබූ කැරට් ක රත්තරන් පවුමක් රුපියල් ක දක්වා ඉහළ ගොස් ඇති බව වැඩිදුර සඳහන් වන්නේ,"Tuesday, 13 June 2023 - 20:47"
217,217,hirunews,Colombo,2023-06-13 15:52:35+00:00,ඉස්සරහට මාළු මිලට ගන්න වෙන්නෙත් කේත ක්‍රමයට,0,178509,si,73,FALSE,මාළු මිලදී ගැනීමට කේතයක්,state,මාළු මිල ගණන් ඉහළ නොයා පිනිස මාළු සුරක්ෂිතව කල් තබා ගනිමින් ඉදිරියේදී යම් පාලනයක් කිරීමට ධීවර සංස්ථාව පියවර ගනිමින් සිටින බව මේ වෙනුවෙන් මූල්ය ශක්තිය ඇතිකර තිබෙන බව ධීවර රාජ්ය අමාත්ය පියල් නිශාන්ත පවසනවාඅද පෙරවරුවේ ගම්පහ ධීවර සංස්ථා පරිශ්රයේදී මාළු මිලදී ගැනීම පිනිස කේතය හඳුන්වාදෙමින් අමාත්යවරය මේ බව ප්රකාශකළ අතර බැංකු ක සම්බන්ධීකරණ යටතේ ආරම්භ කළ මෙම ක්රමවේද දිවයින පුරා ව්යාප්ත කරමින් ජනතාවට සහනය ලබා දෙන බව අමාත්යවරය ප්රකාශකර සිටියාමාළු ලබාගෙන සිය ඡංගම දුරකතනයේ ඇති කේතය ඔස්සේ බැංකු හරහා මුදල් ගෙවිය හැකි බව වැඩිදුර වාර්තා වන්නේ,"Tuesday, 13 June 2023 - 19:22"
218,218,hirunews,Colombo,2023-06-13 15:11:59+00:00,නවීන් දිසානායකගේ ඊළග පිම්ම වැඩි විස්තර,0,178509,si,73,FALSE,සබරගමු ආණ්ඩුකාර නවීන් දිසානායක මහ මැතිවරණයටත් එන බව කියයි (වීඩියෝ),politics,සබරගමු පළාතේ අධ්යාපනය නගා සිටුවීම තම අපේක්ෂාව බව එහි නව ආණ්ඩුකාරවර ලෙස අද පත්වූ හිටපු අමාත්ය නවීන් දිසානායක පවසනව ඉදිරි මහ මැතිවරණයට නියත වශයෙන්ම තරග කරන බව අද දහවල් ජනාධිපති රනිල් වික්රමසිංහ ඉදිරියේ දිවුරුම දීමෙන අනතුරුව මාධ්යවේදී නැගූ ප්රශ්නවලට පිළිතුරු ලබාදෙමින් ඔහු ප්රකාශ කළේමීට පෙර සබරගමු පළාත් ආණ්ඩුකාරවර ලෙස කටයුතු කළ ටිකිරි කොබ්බෑකඩුව එම ධුරයෙන් ඉල්ලා අස්වීමෙන් අනතුරුවයි හිටපු අමාත්ය නවීන් දිසානායක අද එම තනතුරට පත්කරනු ලැබුවේනව තනතුරේ දිවුරුම දීමෙන පසු අද පස්වරුවේ ඔහු හුණුපිටිය ගංඟාරාම විහාරස්ථානයට ගොස් ආගමික වතාවත්වලද නිරතවුණ පසුගියදා උතුර නැගෙනහිර සහ වයඹ පළාත් සඳහා ද නව ආණ්ඩුකාරවරු පත් කෙරුණා ඒ අනුව වයඹ පළාතේ නව ආණ්ඩුකාරවර ලෙස හිටපු අමාත්යවරයෙකු වන ලක්ෂ්මන් යාපා අබේවර්ධන උතුර පළාත් ආණ්ඩුකාරවරිය ලෙස පීඑස්එම් චාල්ස් සහ නැගෙනහිර පළාත් ආණ්ඩුකාරවර ලෙස සෙන්දිල් තොණ්ඩමන් ද පත් කරනු ලැබුවා,"Tuesday, 13 June 2023 - 19:14"
219,219,hirunews,Colombo,2023-06-13 14:17:49+00:00,හි රතු නිවේදන ලැයිස්තුවේ ශ්‍රී ලාංකිකයන් ක්,3,178509,si,73,FALSE,INTERPOL හි රතු නිවේදන ලැයිස්තුවේ ශ්‍රී ලාංකිකයන් 07ක්,criminal,හි රතු නිවේදන ලැයිස්තුව යටතේ ලැයිස්තුගත කර ඇති පලාගිය පුද්ගලයන් අතර ශ්රී ලාංකික පලාගිය පුද්ගලයන් හත් දෙනෙකු සිටින බව සඳහන් වෙනවාඑම හත් දෙනා ශ්රී ලාංකිකයන හතර දෙනෙකු ශ්රී ලංකාවේ අවශ්ය ලෙස ලැයිස්තුගත කර ඇති අතර අනෙක ශ්රී ලාංකික පලාගිය තිදෙන රතු නිවේදන නිකුත් කර ඇත්තේ ඔවුන් තම ප්රදේශව සිදු කළ අපරාධ සම්බන්ධ විදේශ රටවල් විසින් කරන ලද ඉල්ලීම මත යිරතු නිවේදනයක් යනු පිටුවහල් කිරීමට යටත් වීමට හෝ ඒ හා සමාන නීතිමය ක්රියාමාර්ග ගැනීමට නියමිතව සිටින පුද්ගලයෙකු සොයා ගැනීමට සහ තාවකාලික අත්අඩංගුව ගැනීමට ලොව පුරා නීතිය ක්රියාත්මක කරන බලධාරී කරන ඉල්ලීමකිඉන්ටර්පෝල් සිය වෙබ් අඩවියේ පළ කර ඇති සංඛ්යාලේඛනවලට අනුව ශ්රී ලාංකිකයන හතර දෙනෙකු සොයිසා ජගමුනි සුජී නොහොත් කොස්ගොඩ සුජී නඩරාජා සිවරාජා මුනිසාමි තර්මසීලන් සහ වික්නරාසා සෙල්වන්තන් යන සැකකරු ශ්රී ලංකා නීතිය ක්රියාත්මක කිරීමට අවශ්යව සිටින පුද්ගලයන් වෙනවාමිනීමැරුම් නඩුවක් සම්බන්ධ කොස්ගොඩ සුජීට සහ දිවංගත අමාත්ය ලක්ෂ්මන් කදිරගාමර් ඝාතන කිරීමට ආධාර අනුබල දීම සම්බන්ධ නඩරාජා සිවරාජාට මෙම රතු නිවේදන නිකුත් කර තිබෙනව අතර තර්මසීලන් අත්බෝම්බ දෙකක් සහ ජීව උණ්ඩ ක් ළඟ තබා ගැනීම සම්බන්ධ සහ සෙල්වන්තන්ට සොරකම් සහ මිනීමැරුම් සම්බන්ධ චෝදනා එල්ල වී තිබෙනව,"Tuesday, 13 June 2023 - 18:46"
220,220,hirunews,Colombo,2023-06-13 13:03:26+00:00,දුප්පතුන් පෝසතුන් එක ලෙස බය කළ වෛරසයට එන්නතක් වැඩි විස්තර,1,178509,si,73,FALSE,චිකුන්ගුන්යා වෛරසයට එරෙහිව එන්නතක්,state,චිකුන්ගුන්යා වෛරස එරෙහි සාර්ථකව එන්නත අත්හදා බලා තිබෙනවාඔස්ට්රේලියානු සහ ප්රංශ ඖෂධ නිෂ්පාදකයින් කණ්ඩායමක් විසින් එම එන්නත අත්හදා බලා ඇති බව විදෙස් මාධ්ය වාර්තා කළේමදුරුවන් මගි ව්යාප්ත වන මෙම වෛරස සදහා මෙතෙක් කිසිදු එන්නත අත්හදා බලා නොතිබු බවද විදෙස් මාධ්ය වැඩිදුර සඳහන් කර තිබුණාලෝක සෞඛ්ය සංවිධානය පෙන්වා දෙන්නේ වසරේ දී චිකුන්ගුන්යා රෝගය මුල්වරට හදුනාගෙන ඇති අතර එය මේ වන විට රටවල් ක පමණ පැතිර ගොස් ඇති බව,"Tuesday, 13 June 2023 - 18:26"
221,221,hirunews,Colombo,2023-06-13 12:52:52+00:00,කුල දරුවන් සසුන්ගත කිරීමට වයස් සීමාවක්,1,178509,si,73,FALSE,කුල දරුවන් සසුන් ගත කිරීමට වයස් සීමාවක්?,state,කුල දරුවන් සසුන ගත කිරීමට අදාළව අවම වයස් සීමාවක ඉදිරියේ දී හඳුන්වාදී බලාපොරොත්තු වන බව බුද්ධශාසසන ආගමික හා සංස්කෘතික කටයුතු අමාත්ය විදුර වික්රමනායක පවසනවාමේ සම්බන්ධව සාකච්ඡාවක් ලබන වනදා මහානායක හිමිවරු සමග සිදුකිරීමට කටයුතු කරන බව පවසන අමාත්යවරය වැඩිදුර පවසා සිටියේ දරුවන් සසුන්ගත කිරීමේ වයස් සීමාව තීරණය කිරීම සඳහා මහානායක හිමිවරුන්ට පවරන බව,"Tuesday, 13 June 2023 - 16:45"
222,222,hirunews,Colombo,2023-06-13 12:36:28+00:00,කොළඹ මාර්ගයක් වැසේ විකල්ප මාර්ග භාවිතා කරන ලෙස උපදෙස්,1,178509,si,73,FALSE,කොළඹ මාර්ගයක් වැසේ,state,නඩත්තු කටයුතු සඳහා තාවකාලික කැළණි වැලි දුම්රිය මාර්ගයේ කොටා පාර දුම්රිය හරස් මාර්ගය වසා දැමීමට සිදුව බව දුම්රිය දෙපාර්තමේන්තුව නිවේදනයක් නිකුත් කරමින් සඳහන් කර තිබෙනවාඒ අනුව එම නිවේදනයේ දැක්වෙන්නේ බේස්ලයින් පාර හා නාරාහේන්පිට දුම්රිය ස්ථාන අතර කොටා පාර දුම්රිය හරස් මාර්ගය ලබන වැනිදා පෙරවරු සිට ජුනි මස වැනිදා පෙරවරු දක්වා සම්පූර්ණයෙන් වසා තැබීමට සිදුව බව මෙම දුම්රිය හරස් මාර්ගය වසා තබන කාලය තුළ විකල්ප මාර්ග භාවිතා කරන ලෙස දුම්රිය දෙපාර්තමේන්තුව මහජනතාව දැනුම්දීමක් කර තිබෙන බව වාර්තා වන්නේ,"Tuesday, 13 June 2023 - 17:40"
223,223,hirunews,Colombo,2023-06-13 12:32:02+00:00,ප්‍රදේශ කිහිපයක නායයෑම් පූර්ව අනතුරු ඇඟවීම් ඉවත් කෙරේ,2,178509,si,73,FALSE,නායයෑම් පූර්ව අනතුරු ඇඟවීම් ඉවත් කිරීම,state,කෑගල්ල දිස්ත්රික්ක දෙහිඕවිට දැරණියගල ප්රාදේශීය සභා රත්නපුර දිස්ත්රික්ක ඇලපාත නිවිතිගල කලවා ඇහැලියගොඩ සහ රත්නපුර ප්රදේශවලට නායයෑම් පූර්ව අනතුරු ඇඟවීම් ඉවත් කර තිබෙනවාකෑගල්ල දිස්ත්රික්ක යටියන්තොට ප්රාදේශීය සභාව කොළඹ දිස්ත්රික්ක සීතාවක ප්රාදේශීය සභාව රත්නපුර දිස්ත්රික්ක කුරුවිට කිරිඇල්ල අයගම සහ පැල්මඩුල්ල ප්රාදේශීය සභාවලටත් නායයෑම් පූර්ව අනතුරු ඇඟවීම් ඉවත් කර ඇති බව වාර්තා වන්නේ,"Tuesday, 13 June 2023 - 17:31"
224,224,hirunews,Colombo,2023-06-13 12:12:27+00:00,ඇඟ තලන්න හැදූ මධ්‍යස්ථානයේ පුරඟන නිවහනක් කරලා එක් නගර සෝබනියක් ළඟ කෝටි ක වත්කම්,4,178509,si,73,FALSE,කොල්ලුපිටියේ සුපිරි ගණිකා නිවසක් වටලයි,criminal,කොල්ලුපිටිය ප්රදේශයේ දෙමහල් ගොඩනැගිල්ලක පවත්වාගන ගිය ගණිකා නිවසක් වටලා සුරුපී තායි තරුණියන් දෙදෙනෙක් ඇතුළු පස්දෙනෙකු අත්අඩංගුව ගෙන තිබෙනවාපානදුර වලාන මධ්යම දූෂණ මර්ධන ප්රහාරක බලකාය විසින් මෙම වැටලීම සිදුකර ඇති බව වාර්තා වී ඇත්තේඅත්අඩංගුවට ගැනුණු පිරිස අතර තායි තරුණියන් දෙදෙනාට අමතර මෙරට තරුණියක් එහි කළමණාකරු සහ ගණිකා ජාවාර මෙහෙය වූ හිටපු හමුද නිලධාරියෙක් ඇති බව අප ප්රාදේශීය වාර්තාකරු සඳහන් කළේඅත්අඩංගුවට ගත් පිරිස අතර සිටින මෙරට තරුණියගේ හත් හැවිරිදි දියණිය ද එම ස්ථානයට කැඳවාගෙන තිබූ බව පොලිසිය පැවසුවේලද තොරතුරක අනුව පොලිස් උපාය දූතයකු යොදවා රුපියල් ක මුදලක් දී කාන්තාවක් මිලදී ගැනීමෙ පසු මෙම වැටලීම සිදුකර ඇති බව වාර්තා වන්නේගණිකා වෘත්තියේ යෙදෙමින් එම ස්ථානයේ රැඳී සිටි තායි තරුණියන් දෙදෙනාට ගුවන ගමන් බලපත්ර පවා නොතිබූ බව පොලිසිය සඳහන් කළේඅත්අඩංගුවට ගත් හැවිරිදි ශ්රී ලාංකික තරුණිය රැපියල් කෝටි දහයක පමණ දේපළ හිමිකම් කියන තැනැත්තියක බව ඇයගේ නමි සුඛෝපභෝගී මෝටර් රථ තුනක් පිළියන්දල ප්රදේශයේ ඉදි කරමින් පවතින තෙමහල් නිවසක් ද ඇති බව මුලික පොලිස් විමර්ශනවලදී අනාවරණ වී ඇත්තේපොලිසිය සඳහන් කළේ එම සැකකාරියගෙන් සිදු කළ පුශ්න කිරීමේදී ගණිකා වෘතියේ යෙදෙමින් එම වත්කම් උපයාගත බව මෙම වැටලීමත් සමඟ අත්අඩංගුව ගත් ජාවාර මෙහෙය වූ බව කියන හිටපු හමුද නිලධාරියා අසනීප තත්ත්වය පත්ව පොලිස් ආරක්ෂාව යටතේ කොළඹ ජාතික රෝහලට ඇතුළත් කිරීමටයි කටයුතු කර ඇති බව පොලිසිය ප්රකාශ කර සිටියා,"Tuesday, 13 June 2023 - 17:26"
